Issue Type;Key;Priority;Status;Summary;Created;Description;;;;;
Story;CODEE01-35;;Cancelled;[eShop] [OUT OF SCOPE] Products recommendation (AI);27-03-2023;"As a business 

I want to system supports products recommendation based on AI 

So that I can provide my clients better experience and the most relevant suggestions




Acceptance Criteria
● Universal custom LWC component with the list of recommended products that can be placed to any Community page.
● The Custom component will use the Einstein API for getting insights from the AI.
● The Einstein need to be enabled in the B2B portal once system will be launched and enough data(orders, cartItems) will be created there.
● Einstein will be turned on without custom LWC component";;;;;
Story;CODEE01-91;;Cancelled;[Go-live] Activation of a B2B portal itself;27-03-2023;"As a Tech 

I want to story 

So that I can N/A 




Acceptance Criteria";;;;;
Story;CODEE01-90;;Cancelled;[Go-live] Activation of the integration with other systems: QAD, MDM;27-03-2023;"As a Tech 

I want to story 

So that I can N/A 




Acceptance Criteria";;;;;
Story;CODEE01-55;;Cancelled;[Integration with CMS][OUT of the Scope]Integration setup between SF and CMS;27-03-2023;"As a business 

I want to show to clients the same products related content at eShop and Web site 

So that I can have consistency and up to date products information on all platforms 




Acceptance Criteria
● Setup credentials- Setup connection settings";;;;;
Story;CODEE01-65;;Cancelled;[General] Configuration of the Version Control System;27-03-2023;"As a Tech 

I want to story 

So that I can N/A 




Acceptance Criteria
Setup Git repository,access to it";;;;;
Story;CODEE01-54;;Cancelled;[Integration with CMS] [OUT of the Scope]Mapping configuration between SF CMS component and Drupal CMS content;27-03-2023;"As a business 

I want to show to clients the same products related content at eShop and Web site 

So that I can have consistency and up to date products information on all platforms




Acceptance Criteria
● Agreed on data format
● Displaying articles on the Salesforce pages
● Note! Related documents on the PDP - product details page (like safety data sheets, brochures…) will be redirecting to the documents on the Drupal website";;;;;
Story;CODEE01-89;;Closed;[Go-live] Users training;27-03-2023;"As a business

I want to have training of the eShop

So that I can use system in whole and understand the limitation




Acceptance Criteria
● Train the trainer model will provided";;;;;
Story;CODEE01-87;;Closed;[Go-live] UAT;27-03-2023;"As a 

I want to N/A 

So that I can N/A 




Acceptance Criteria
– UAT checklist

– Bug fixing

– Final demo session";;;;;
Story;CODEE01-43;;Closed;[eShop/Internal SF] Live chat with business specialists;27-03-2023;"As a business 

I want to clients have ability to chat online with business 

So that I can provide better clients experience




Acceptance Criteria
● Standard Salesforce live chat functionality will be setup:
● Ability to have separate chats per separate chls (eShop/Website) with ability to assign for different service agents groups
● If nobody is online from business side then the system will display message and provide ability raise case from the chat
● B2B buyer will see live chat from eShop side, it will be a ""sticky"" button on each page so it's easily accessible
● CSS or Sales Person will be able to answer in chat from Internal SF
● Historical chats will be available on Contact Support detail tab. Also the live chat history will appear in Salesforce as a record under the ""Chats"" or ""Chat Transcripts"" object. This will allow your team to review and reference past chat interactions.";;;;;
Story;CODEE01-58;;Closed;[Data Migration] Initial migration for  Prices;27-03-2023;"As a business 

I want to have all actual prices in SF 

So that I can start with e Shop functionality




Acceptance Criteria
● Data will be loaded from file.
● our provider shall provide template
● business will  provide data";;;;;
Story;CODEE01-56;;Closed;[Data Migration] Initial migration for Products;27-03-2023;"As a business 

I want to have products catalogue setup at SF 

So that I can display all products at eShop




Acceptance Criteria
● Data will be loaded from file
● our provider shall provide template
● Data will be provided by business

Notes:
– business Products will be loaded as new Product record type
– Product object will have new pagelayout for business products";;;;;
